club_name,avg_overall,avg_composite,count_players
DSC Arminia Bielefeld,69.5,65.111,20
Chengdu Qianbao,68.5,65.11,6
Cercle Brugge,68.38888888888889,65.10888888888888,18
Real Zaragoza,68.62962962962963,65.10740740740741,27
Tenerife,68.42857142857143,65.10571428571428,21
Reggina,68.83333333333333,65.08666666666666,18
SpVgg Greuther Fürth,68.84210526315789,65.08421052631579,19
San Lorenzo,68.66666666666667,65.07666666666667,18
Ponferradina,68.41176470588235,65.0764705882353,17
LASK Linz,68.95,65.071,20
Metz,69.11764705882354,65.05882352941177,17
Stoke City,68.78260869565217,65.0495652173913,23
Universitatea Craiova,67.94736842105263,65.03894736842105,19
Heidenheim,68.66666666666667,65.0352380952381,21
Rosenborg,67.71428571428571,65.01,14
Raków Częstochowa,68.23809523809524,65.00666666666667,21
Sporting Cristal,68.71428571428571,64.99857142857142,14
RFC Seraing,66.625,64.97500000000001,8
Bengaluru,66.5,64.97,4
Sporting Gijón,68.89473684210526,64.96631578947368,19
Saint-Étienne,70.21052631578948,64.96526315789474,19
Casa Pia,69.1304347826087,64.95391304347827,23
LDU Quito,70.125,64.95375,16
FC Groningen,67.625,64.95125,16
Sivasspor,68.81818181818181,64.94818181818182,22
Nordsjælland,68.0909090909091,64.92727272727272,11
Burgos,68.6842105263158,64.92315789473685,19
Nürnberg,69.1304347826087,64.91478260869565,23
Independiente Medellín,69.14285714285714,64.91285714285713,14
Colorado Rapids,68.5,64.90857142857143,14
VfB Oldenburg,67.0,64.9,2
Pisa,68.9090909090909,64.89181818181818,22
Deportivo Alavés,70.75,64.89099999999999,20
Magdeburg,67.4375,64.88,16
Al Raed,69.88888888888889,64.87555555555555,9
Exeter City,66.0,64.872,5
Fortuna Sittard,68.52631578947368,64.86947368421052,19
Frosinone,68.86666666666666,64.83466666666666,15
Orlando City,69.5,64.8,12
Wellington Phoenix,66.75,64.7925,8
Barracas Central,67.6,64.786,10
East Bengal,67.0,64.78,1
Austria Wien,67.8,64.78,15
Pogoń Szczecin,67.875,64.7625,16
Sarpsborg 08,66.0,64.752,5
Port Vale,65.66666666666667,64.74666666666666,3
Estoril,69.0952380952381,64.74095238095238,21
Winterthur,66.25,64.735,4
Reading,69.42105263157895,64.7221052631579,19
Darmstadt 98,69.65,64.71799999999999,20
Paderborn,68.73684210526316,64.71368421052631,19
Rio Ave,68.91304347826087,64.70260869565217,23
Dundee United,67.3076923076923,64.69538461538461,13
Cincinnati,68.47058823529412,64.67294117647059,17
Pau,66.375,64.6725,8
Molde,67.72222222222223,64.66222222222223,18
Wisła Płock,66.66666666666667,64.66,9
Hibernian,67.26666666666667,64.65466666666667,15
Viking,66.83333333333333,64.63833333333334,12
APOEL,68.76470588235294,64.63529411764705,17
Junior,68.73333333333333,64.63333333333334,15
Universidad Católica,68.81481481481481,64.62148148148148,27
América Mineiro,70.1875,64.58875,16
AGF,67.8125,64.5875,16
Holstein Kiel,68.17391304347827,64.57130434782609,23
Gimnasia La Plata,68.64285714285714,64.55857142857143,14
Paris,68.71428571428571,64.55428571428573,21
Amiens SC,69.0,64.554,10
Central Cordoba SdE,68.27272727272727,64.54727272727273,11
Elfsborg,68.8,64.546,10
OB,66.875,64.5425,8
Montreal Impact,68.5,64.54,14
Godoy Cruz,68.83333333333333,64.53666666666668,18
Melbourne Victory,68.5,64.53,12
Sutton United,65.0,64.52000000000001,1
Delfin,67.5,64.52,6
Kaizer Chiefs,68.3529411764706,64.50235294117647,17
KV Oostende,68.0,64.493,20
St. Pauli,68.1304347826087,64.47565217391305,23
Sparta Rotterdam,67.6,64.47200000000001,15
Värnamo,66.0,64.47,2
Mansfield Town,65.0,64.46000000000001,2
Portimonense,69.05555555555556,64.45555555555556,18
FC Cartagena,69.22222222222223,64.45555555555556,18
Arouca,68.19047619047619,64.44761904761906,21
Cosenza,68.5,64.435,12
Hammarby,68.3,64.42999999999999,10
Salford City,65.0,64.42999999999999,2
Morecambe,65.66666666666667,64.42666666666668,3
Botoşani,65.5,64.42,2
Huddersfield Town,68.66666666666667,64.39333333333333,18
Peterborough United,67.1875,64.3525,16
Platense,68.0,64.30571428571429,14
ATK Mohun Bagan,66.83333333333333,64.30333333333333,6
NorthEast United,67.0,64.3,1
Ümraniyespor,67.46666666666667,64.29466666666667,15
Leganés,67.95238095238095,64.29238095238095,21
Giresunspor,68.08333333333333,64.27333333333333,12
Sandhausen,68.35,64.24600000000001,20
Aberdeen,67.25,64.24,12
Melgar,69.84615384615384,64.23846153846154,13
Austria Lustenau,65.66666666666667,64.22666666666667,3
Wigan Athletic,68.3157894736842,64.22631578947369,19
HamKam,65.0,64.21999999999998,1
Chaves,67.9047619047619,64.20476190476191,21
Wattens,66.625,64.2025,8
Bari 1908,68.0,64.17428571428572,21
Suwon Bluewings,67.64285714285714,64.16714285714286,14
Stal Mielec,66.66666666666667,64.16666666666667,6
Guaireña,66.11111111111111,64.16444444444444,9
Häcken,68.15384615384616,64.16153846153847,13
Huracán,69.21052631578948,64.15157894736842,19
Tianjin Teda,68.75,64.145,4
Hansa Rostock,67.52,64.1336,25
Sarmiento,68.13333333333334,64.13333333333334,15
Dijon,67.9,64.12899999999999,20
Korona Kielce,65.6,64.088,5
Lillestrøm,67.9,64.078,10
İstanbulspor,67.33333333333333,64.07333333333334,3
Rapid Bucuresti,66.6875,64.06625,16
Perugia,67.47058823529412,64.06470588235294,17
Gangwon,67.33333333333333,64.06,9
Perth Glory,66.66666666666667,64.05666666666666,6
Strømsgodset,67.33333333333333,64.05333333333333,6
Sint-Truiden,68.6,64.05199999999999,15
Unión Española,68.3,64.03999999999999,10
Wolfsberger AC,67.33333333333333,64.03833333333334,12
Randers,67.5625,64.03375,16
Kaiserslautern,67.76190476190476,64.0304761904762,21
Emelec,68.41666666666667,64.02666666666666,12
Fleetwood Town,66.125,64.02499999999999,8
Málaga,67.52173913043478,64.02347826086957,23
Vizela,68.72727272727273,64.02272727272727,22
Sangju Sangmu,66.75,64.02,4
Jagiellonia Białystok,66.81818181818181,64.02,11
Derby County,67.71428571428571,64.01142857142857,14
RKC Waalwijk,67.0,64.0,13
Birmingham City,68.88888888888889,63.99222222222223,18
Paços de Ferreira,68.25,63.98,24
Nîmes,68.3076923076923,63.94615384615385,13
AaB,67.84210526315789,63.926315789473676,19
Abha,68.5,63.91600000000001,10
St. Mirren,65.6,63.914,10
Silkeborg,67.81818181818181,63.91272727272727,11
Cheltenham Town,66.0,63.912,5
Henan Jianye,69.0,63.91,6
Como,68.94117647058823,63.89411764705883,17
Blackpool,67.36363636363636,63.8890909090909,22
Ried,66.7,63.879999999999995,10
Go Ahead Eagles,67.07142857142857,63.87428571428571,14
SC Cambuur,66.75,63.8625,16
Guingamp,67.33333333333333,63.86133333333333,15
Cittadella,66.42857142857143,63.857142857142854,14
Śląsk Wrocław,66.15384615384616,63.855384615384615,13
Incheon United,67.33333333333333,63.85333333333333,12
Modena,68.0625,63.8475,16
CFR Cluj,68.18181818181819,63.83181818181818,22
Always Ready,66.66666666666667,63.81166666666667,12
Annecy,66.57142857142857,63.81142857142857,7
Ipswich Town,67.33333333333333,63.80761904761905,21
IFK Göteborg,68.0,63.8075,8
Western United,67.63636363636364,63.801818181818184,11
FC Emmen,67.25,63.79,12
Pohang Steelers,67.38461538461539,63.78923076923077,13
Racing Santander,67.47058823529412,63.76117647058824,17
Caen,67.89473684210526,63.75789473684211,19
Albacete,67.27777777777777,63.721111111111114,18
Südtirol,67.45454545454545,63.71818181818182,11
Bolton Wanderers,65.78571428571429,63.71142857142858,14
Sunderland,68.11111111111111,63.69777777777777,18
SPAL,67.6875,63.69375,16
Western Sydney Wanderers,67.72727272727273,63.685454545454554,11
Grenoble Foot 38,66.625,63.68125,16
Lugo,67.76470588235294,63.670588235294126,17
1860 München,66.91666666666667,63.666666666666664,12
Meppen,66.0,63.660000000000004,3
Cienciano,67.4375,63.6575,16
Charlton Athletic,65.72727272727273,63.654545454545456,11
Osnabrück,67.2,63.648,5
U Craiova 1948,66.83333333333333,63.64333333333334,6
Metropolitanos,66.55555555555556,63.64222222222223,9
Banfield,68.47619047619048,63.63047619047619,21
Royal Pari,65.66666666666667,63.626666666666665,6
Atlético Tucumán,68.41176470588235,63.622352941176466,17
St Patrick's,65.5,63.61,2
Zagłębie Lubin,66.375,63.6075,8
Jamshedpur,67.0,63.580000000000005,1
FC Volendam,67.85714285714286,63.58,7
Lechia Gdańsk,66.66666666666667,63.562666666666665,15
Derry City,65.5,63.55,2
Elversberg,66.25,63.55,4
Ingolstadt,66.5,63.54714285714285,14
Caracas,66.66666666666667,63.51666666666667,6
Cerro Largo,66.22222222222223,63.48888888888889,9
Central Coast Mariners,67.25,63.47,4
Hartberg,66.72727272727273,63.46545454545455,11
Le Havre,67.14285714285714,63.457142857142856,14
Tromsø,66.0,63.449999999999996,4
Karlsruher SC,68.36363636363636,63.440909090909095,22
Mirandés,67.46153846153847,63.43692307692307,13
Peñarol,68.18181818181819,63.39818181818182,11
Waldhof Mannheim,66.3076923076923,63.349230769230765,13
Excelsior,66.3076923076923,63.349230769230765,13
9 de Octubre,66.42857142857143,63.34285714285715,7
Jahn Regensburg,67.7,63.340999999999994,20
MSV Duisburg,67.0,63.325,4
Gillingham,65.0,63.32,1
Estudiantes Mérida,66.66666666666667,63.306666666666665,6
Plymouth Argyle,66.66666666666667,63.282666666666664,15
Sol de América,66.0,63.279999999999994,3
Mumbai City,67.66666666666667,63.26666666666667,6
Niort,68.4,63.26400000000001,5
Ternana,68.0,63.25052631578947,19
UD Ibiza,67.84210526315789,63.2442105263158,19
Bastia,65.66666666666667,63.23666666666667,6
Chindia Târgovişte,65.8,63.23199999999999,5
Rot-Weiss Essen,65.57142857142857,63.23142857142857,7
Piast Gliwice,67.27272727272727,63.2309090909091,11
Independiente Petrolero,65.6875,63.20875,16
Erzgebirge Aue,65.9,63.182,10
Wycombe Wanderers,66.6875,63.17375,16
Livingston,65.14285714285714,63.17142857142857,7
Suwon,67.7,63.164,10
Eintracht Braunschweig,67.18181818181819,63.153636363636366,22
Forest Green Rovers,65.0,63.152,5
Goa,67.0,63.129999999999995,4
St. Johnstone,66.22222222222223,63.12888888888889,9
FC Andorra,67.15384615384616,63.12461538461538,13
Deportivo La Guaira,65.9,63.122,10
Radomiak Radom,66.54545454545455,63.11454545454546,11
Sheffield Wednesday,67.27777777777777,63.107777777777784,18
La Equidad,67.83333333333333,63.10333333333333,12
Sandefjord,66.0,63.08999999999999,2
Bradford City,65.25,63.06,4
Unión La Calera,67.8,63.06,5
Saarbrücken,66.22222222222223,62.955555555555556,18
Shrewsbury Town,66.0,62.95384615384615,13
Universitatea Cluj,66.16666666666667,62.93666666666667,6
Grasshopper,67.21428571428571,62.92,14
Kerala Blasters,67.5,62.910000000000004,4
Villarreal II,67.36363636363636,62.89090909090908,11
Mushuc Runa,65.5,62.85,6
Sepsi,66.58333333333333,62.83833333333334,12
Horsens,66.0,62.80499999999999,4
Górnik Zabrze,67.25,62.8025,8
Patronato,66.9,62.778,10
Deportivo Cali,67.9090909090909,62.76545454545454,11
Accrington Stanley,66.0,62.73999999999999,3
Viktoria Köln,66.0,62.73818181818182,11
Widzew Lodz,65.4,62.724000000000004,5
Austria Klagenfurt,66.36363636363636,62.720000000000006,11
Sirius,65.625,62.715,8
Odd,66.25,62.71000000000001,4
Hermanos Colmenares,65.88888888888889,62.702222222222225,9
Haugesund,65.33333333333333,62.69333333333333,3
Rotherham United,67.05263157894737,62.682105263157894,19
UTA Arad,65.77777777777777,62.66444444444445,9
Motherwell,66.6,62.658,10
Wanderers,66.875,62.6375,8
Hyderabad,67.75,62.605,4
Rheindorf Altach,65.77777777777777,62.59777777777778,9
SSC Farul,67.5,62.586,10
Ross County,65.83333333333333,62.583333333333336,6
Northampton Town,65.66666666666667,62.526666666666664,3
Ayacucho,66.4,62.476,5
General Caballero JLM,66.0,62.43000000000001,2
Deportivo Táchira,66.83333333333333,62.39333333333334,6
Hermannstadt,66.375,62.3925,8
Dynamo Dresden,66.33333333333333,62.38533333333334,15
Oxford United,65.76923076923077,62.353846153846156,13
Burton Albion,66.0,62.348571428571425,7
Dalian Professional,68.0,62.33000000000001,2
Antofagasta,65.5,62.32,2
Portsmouth,66.21428571428571,62.297142857142866,14
Sport Boys,66.0,62.29200000000001,5
Laval,67.0,62.28181818181818,11
Viborg,66.875,62.27,8
Cracovia Kraków,66.3,62.267999999999994,10
Odisha FC,65.75,62.254999999999995,4
HJK,66.28571428571429,62.222857142857144,7
Barnsley,66.0,62.18571428571429,14
Shijiazhuang Ever Bright,71.5,62.14,2
The Strongest,67.0,62.1,12
Kristiansund,65.5,62.08,4
